exercise_date,cash_year,cash_dividend_percentage,issue_method,Symbol
11/12/24,2024.0,0.1,cash,A32
16/08/24,2023.0,0.25,cash,A32
21/12/23,2023.0,0.1,cash,A32
01/08/23,2022.0,0.2,cash,A32
15/12/22,2022.0,0.1,cash,A32
01/08/22,2021.0,0.27,cash,A32
16/12/21,2021.0,0.1,cash,A32
05/07/21,2020.0,0.07,cash,A32
12/01/21,2020.0,0.15,cash,A32
01/06/20,2019.0,0.07,cash,A32
24/12/19,2019.0,0.15,cash,A32
06/06/19,2018.0,0.07,cash,A32
08/01/19,2018.0,0.15,cash,A32
31/12/17,2017.0,0.22,cash,A32
31/12/16,2016.0,0.22,cash,A32
01/09/21,2020.0,0.05,cash,AAA
19/10/20,2020.0,0.05,share,AAA
14/09/20,2019.0,0.05,cash,AAA
14/08/19,2019.0,0.05,cash,AAA
17/01/18,2017.0,0.15,cash,AAA
14/08/17,2017.0,0.05,cash,AAA
06/03/17,2016.0,0.1,cash,AAA
05/12/16,2016.0,0.1,cash,AAA
07/04/16,2015.0,0.07,cash,AAA
28/09/15,2015.0,0.25,share,AAA
18/06/14,2013.0,0.1,cash,AAA
13/06/13,2012.0,0.1,cash,AAA
13/08/12,2011.0,0.11,cash,AAA
13/09/11,2010.0,0.091,cash,AAA
31/03/23,2022.0,0.07,cash,AAM
26/02/20,2019.0,0.05,cash,AAM
10/07/19,2019.0,0.05,cash,AAM
21/02/19,2018.0,0.03,cash,AAM
07/11/18,2018.0,0.05,cash,AAM
21/02/18,2017.0,0.05,cash,AAM
08/02/17,2016.0,0.05,cash,AAM
25/12/15,2015.0,0.06,cash,AAM
05/02/15,2014.0,0.1,cash,AAM
25/02/14,2013.0,0.1,cash,AAM
10/07/13,2012.0,0.05,cash,AAM
10/07/13,2013.0,0.15,share,AAM
13/11/12,2012.0,0.1,cash,AAM
25/04/12,2011.0,0.12,cash,AAM
07/12/11,2011.0,0.12,cash,AAM
14/11/23,2023.0,0.15,share,AAS
27/06/23,2023.0,0.5,share,AAS
04/07/23,2023.0,0.11,share,AAT
23/06/22,2021.0,0.03,cash,AAT
14/10/21,2021.0,0.115,share,AAT
14/10/21,2020.0,0.1,cash,AAT
04/08/22,2022.0,0.035,share,AAV
08/07/21,2021.0,0.15,share,AAV
28/06/19,2018.0,0.1,cash,AAV
04/10/18,2018.0,0.15,share,AAV
31/12/16,2016.0,0.1,cash,AAV
30/05/23,2023.0,0.1,share,ABB
29/06/19,2019.0,0.074,share,ABB
05/09/24,2023.0,0.05,cash,ABC
31/08/23,2022.0,0.15,cash,ABC
08/07/20,2019.0,0.1,cash,ABC
25/06/19,2018.0,0.1,cash,ABC
12/07/17,2016.0,1.95,cash,ABC
24/05/16,2015.0,0.4,cash,ABC
21/05/15,2014.0,0.25,cash,ABC
29/05/14,2013.0,0.25,cash,ABC
31/05/13,2012.0,0.25,cash,ABC
12/12/24,2023.0,0.1,cash,ABI
23/07/24,2023.0,0.1,cash,ABI
03/11/23,2023.0,0.413,share,ABI
03/11/23,2022.0,0.1,cash,ABI
15/11/22,2022.0,0.2,share,ABI
05/11/21,2021.0,0.14,share,ABI
19/03/21,2020.0,0.04,cash,ABI
29/07/20,2019.0,0.08,cash,ABI
07/02/20,2019.0,0.12,cash,ABI
14/03/19,2018.0,0.12,cash,ABI
