exchange,industry,company_type,no_shareholders,foreign_percent,outstanding_share,issue_share,established_year,no_employees,stock_rating,delta_in_week,delta_in_month,delta_in_year,short_name,website,industry_id,industry_id_v2,Tickers
UPCOM,Hàng cá nhân & Gia dụng,CT,505,0.0,2025-08-06 00:00:00,2025-08-06 00:00:00,2008.0,1153,,108.0,115.0,261,Công ty 32,http://32jsc.com,227,3765,A32
HOSE,Hóa chất,CT,27697,21.0,382.3,382.3,2007.0,2927,2025-03-02 00:00:00,2.0,-21.0,-183,An Phát Bioplastics,https://anphatbioplastics.com,150,1353,AAA
HOSE,Thực phẩm và đồ uống,CT,1259,9.0,2025-05-10 00:00:00,2025-03-12 00:00:00,2002.0,146,,-47.0,-12.0,-358,Thủy sản Mekong,http://www.mekongfish.vn,217,3573,AAM
UPCOM,Dịch vụ tài chính,CK,6012,7.0,230.0,230.0,2006.0,92,2025-07-02 00:00:00,33.0,383.0,-52,Chứng khoán SmartInvest,https://www.aas.com.vn,300,8777,AAS
HOSE,Hàng cá nhân & Gia dụng,CT,4858,8.0,70.8,70.8,1995.0,634,2025-02-02 00:00:00,6.0,33.0,-422,Tập đoàn Tiên Sơn Thanh Hóa,http://tiensonaus.com,226,3763,AAT
HNX,Bất động sản,CT,7182,2.0,69.0,69.0,2010.0,13,2025-04-02 00:00:00,-24.0,-37.0,818,Việt Tiên Sơn Địa ốc,http://aavgroup.com.vn,336,8633,AAV
UPCOM,Ngân hàng,NH,28276,164.0,1035.0,1035.0,1993.0,4245,2025-09-01 00:00:00,1.0,0.0,-216,Ngân hàng An Bình,http://www.abbank.vn,289,8355,ABB
UPCOM,Viễn thông,CT,759,9.0,2025-04-20 00:00:00,2025-04-20 00:00:00,2006.0,208,2025-07-02 00:00:00,228.0,247.0,-9,Truyền thông VMG,https://vmgmedia.vn/home/index,269,6575,ABC
UPCOM,Bảo hiểm,BH,0,111.0,71.2,72.4,2006.0,838,2025-08-02 00:00:00,9.0,51.0,25,BH NH Nông Nghiệp,https://abic.com.vn,292,8536,ABI
HOSE,Hàng & Dịch vụ Công nghiệp,CT,404,484.0,20.0,20.0,2012.0,16,2025-06-02 00:00:00,-12.0,-0.03,37,Đầu tư Nhãn Hiệu Việt,http://www.vbinvest.com.vn,195,2791,ABR
HOSE,Hóa chất,CT,8822,0.0,80.0,80.0,2004.0,63,2025-07-02 00:00:00,-8.0,-41.0,-332,DV Nông nghiệp Bình Thuận,http://www.bitagco.com,151,1357,ABS
HOSE,Thực phẩm và đồ uống,CT,930,22.0,2025-08-11 00:00:00,2025-04-14 00:00:00,2003.0,607,2025-09-02 00:00:00,9.0,25.0,77,Thủy sản Bến Tre,https://aquatexbentre.com,217,3573,ABT
UPCOM,Dịch vụ tài chính,CK,1649,0.01,101.2,101.2,2011.0,142,2025-01-02 00:00:00,37.0,31.0,-254,Chứng khoán An Bình,https://www.abs.vn,300,8777,ABW
HOSE,Ngân hàng,NH,60034,0.3,4466-07-01 00:00:00,4466-07-01 00:00:00,2006.0,13110,2025-08-02 00:00:00,-1.0,4.0,93,ACB,https://www.acb.com.vn,289,8355,ACB
HOSE,Xây dựng và Vật liệu,CT,1369,77.0,105.0,105.0,2008.0,153,2025-02-02 00:00:00,-37.0,41.0,109,Đầu tư và XD Bình Dương ACC,https://www.becamexacc.com.vn,180,2353,ACC
UPCOM,Xây dựng và Vật liệu,CT,228,2.0,2025-01-03 00:00:00,2025-01-03 00:00:00,1982.0,377,,-44.0,-41.0,-1,Bê tông An Giang,http://www.aceco.com.vn,180,2353,ACE
HOSE,Tài nguyên Cơ bản,CT,477,386.0,150.8,150.8,2006.0,2478,2025-06-02 00:00:00,-1.0,23.0,94,Gỗ An Cường,https://www.ancuong.com,155,1733,ACG
HOSE,Thực phẩm và đồ uống,CT,0,23.0,50.2,50.2,1986.0,1057,2025-01-02 00:00:00,-2.0,-5.0,-89,Thủy sản CL An Giang,https://clfish.com,217,3573,ACL
UPCOM,Tài nguyên Cơ bản,CT,5228,26.0,51.0,51.0,1996.0,9,,-122.0,236.0,324,Tập đoàn Khoáng sản Á Cường,https://acuonggroup.vn,166,1775,ACM
UPCOM,Xây dựng và Vật liệu,CT,179,2.0,2025-04-05 00:00:00,4.0,2004.0,117,,5.0,-217.0,-144,Xây lắp Thương mại 2,http://www.acsc.com.vn/,181,2357,ACS
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,6445,36.0,2177.0,2177-02-01 00:00:00,2012.0,10475,2025-05-02 00:00:00,-29.0,23.0,775,Cảng Hàng không VN,https://www.vietnamairport.vn,193,2777,ACV
