deal_announce_date,deal_method,deal_action,deal_quantity,deal_price,deal_ratio,Ticker
2021-01-27,,Mua,21000.0,,,A32
2020-09-28,,Mua,0.0,,,A32
2020-08-18,,Mua,4900.0,,,A32
2020-07-03,,Mua,5800.0,,,A32
2020-05-19,,Mua,13400.0,,,A32
2020-01-08,,Mua,0.0,,,A32
2019-11-21,,Mua,500.0,,,A32
2019-10-21,,Mua,8800.0,,,A32
2019-07-10,,Mua,2800.0,,,A32
2024-09-23,,Bán,-540000.0,9860.0,-0.142,AAA
2024-09-23,,Bán,-200000.0,9860.0,-0.142,AAA
2024-07-16,,Bán,-182300.0,12200.0,-0.307,AAA
2024-05-27,,Bán,-500000.0,11200.0,-0.245,AAA
2024-04-08,,Bán,-1000000.0,11000.0,-0.231,AAA
2024-04-08,,Bán,-460000.0,11000.0,-0.231,AAA
2024-03-05,,Mua,3750000.0,11250.0,-0.248,AAA
2023-09-21,,Bán,-300000.0,10500.0,-0.194,AAA
2023-09-11,,Bán,0.0,10600.0,-0.202,AAA
2023-06-29,,Bán,-10000000.0,10700.0,-0.209,AAA
2022-12-20,,Mua,2000000.0,7180.0,0.178,AAA
2022-12-16,,Mua,500000.0,7810.0,0.083,AAA
2022-12-14,,Mua,1000000.0,7570.0,0.118,AAA
2022-07-26,,Bán,-5900.0,12100.0,-0.301,AAA
2022-07-11,,Mua,40800000.0,11350.0,-0.255,AAA
2022-03-07,,Bán,-6694213.0,18050.0,-0.531,AAA
2021-10-21,,Bán,-462000.0,15900.0,-0.468,AAA
2021-07-28,,Bán,-2009412.0,14401.0,-0.413,AAA
2021-07-16,,Mua,2500000.0,13915.0,-0.392,AAA
2021-07-16,,Bán,-418147.0,13915.0,-0.392,AAA
2024-12-17,,Bán,0.0,7390.0,-0.077,AAM
2024-12-13,,Mua,0.0,7050.0,-0.033,AAM
2024-08-23,,Bán,-21200.0,7420.0,-0.081,AAM
2024-07-23,,Bán,-89800.0,8250.0,-0.173,AAM
2024-06-28,,Bán,-20000.0,8250.0,-0.173,AAM
2024-06-21,,Bán,-40000.0,8290.0,-0.177,AAM
2024-05-09,,Bán,-6000.0,8900.0,-0.234,AAM
2023-07-25,,Bán,-45000.0,10800.0,-0.369,AAM
2022-12-15,,Mua,50000.0,11144.0,-0.388,AAM
2022-10-20,,Bán,0.0,10674.0,-0.361,AAM
2022-08-26,,Bán,-25100.0,11473.0,-0.406,AAM
2022-07-15,,Bán,-40000.0,11191.0,-0.391,AAM
2022-06-17,,Mua,80000.0,10674.0,-0.361,AAM
2022-06-02,,Bán,-98700.0,12601.0,-0.459,AAM
2022-05-16,,Bán,-13900.0,11614.0,-0.413,AAM
2022-05-16,,Bán,-4100.0,11614.0,-0.413,AAM
2022-05-12,,Bán,-15300.0,11285.0,-0.396,AAM
2022-04-04,,Bán,-14900.0,14294.0,-0.523,AAM
2022-03-30,,Bán,-74700.0,14623.0,-0.534,AAM
2019-11-15,,Mua,325000.0,10984.0,-0.379,AAM
2024-09-12,,Bán,-575000.0,,,AAS
2023-10-16,,Bán,-5000.0,,,AAS
2023-10-10,,Mua,7000.0,,,AAS
2023-09-12,,Mua,500000.0,,,AAS
2023-08-07,,Mua,1660798.0,,,AAS
2021-06-11,,Bán,-639265.0,,,AAS
2024-07-18,,Mua,87300.0,3880.0,-0.095,AAT
2024-07-18,,Bán,-316000.0,3880.0,-0.095,AAT
2022-12-08,,Mua,55300.0,5216.0,-0.327,AAT
2022-09-28,,Mua,3000000.0,8649.0,-0.594,AAT
2022-08-22,,Mua,692800.0,10315.0,-0.66,AAT
2022-07-28,,Mua,13340.0,11081.0,-0.683,AAT
2021-05-19,,Bán,-110000.0,15536.0,-0.774,AAT
2025-01-13,,Mua,0.0,7300.0,-0.014,AAV
2025-01-13,,Bán,0.0,7300.0,-0.014,AAV
2024-02-05,,Bán,-790000.0,3700.0,0.946,AAV
2024-01-19,,Bán,-250000.0,4000.0,0.8,AAV
2024-01-15,,Bán,-750000.0,3800.0,0.895,AAV
2024-01-11,,Bán,-800000.0,4000.0,0.8,AAV
2023-09-07,,Bán,-400000.0,6200.0,0.161,AAV
2023-08-23,,Bán,-480000.0,5800.0,0.241,AAV
2023-08-21,,Bán,-660000.0,5800.0,0.241,AAV
2023-08-10,,Bán,-450000.0,6700.0,0.075,AAV
2023-08-04,,Bán,-600000.0,6700.0,0.075,AAV
2021-12-10,,Mua,6000000.0,23479.0,-0.693,AAV
2021-12-10,,Mua,2550000.0,23479.0,-0.693,AAV
2021-12-10,,Mua,6000000.0,23479.0,-0.693,AAV
2021-12-10,,Mua,15000000.0,23479.0,-0.693,AAV
2021-10-13,,Bán,-11734312.0,27827.0,-0.741,AAV
2021-09-27,,Bán,-185150.0,26281.0,-0.726,AAV
2021-09-27,,Bán,-297562.0,26281.0,-0.726,AAV
2021-09-24,,Bán,-661250.0,25701.0,-0.72,AAV
2021-09-18,,Bán,-575000.0,26087.0,-0.724,AAV
2024-05-28,,Bán,-84875882.0,8500.0,-0.153,ABB
2024-03-12,,Mua,100000.0,8100.0,-0.111,ABB
2024-01-25,,Bán,-148500.0,8100.0,-0.111,ABB
2023-07-10,,Bán,-75050.0,8800.0,-0.182,ABB
2023-03-29,,Mua,100000.0,7182.0,0.003,ABB
2023-03-17,,Mua,1000000.0,7182.0,0.003,ABB
2022-08-03,,Mua,100000.0,10727.0,-0.329,ABB
2021-07-02,,Bán,-177394.0,13061.0,-0.449,ABB
2021-06-30,,Mua,900.0,12839.0,-0.439,ABB
2021-05-14,,Bán,-1502038.0,10404.0,-0.308,ABB
2021-03-15,,Bán,-27700.0,7803.0,-0.077,ABB
2021-03-08,,Bán,-83700.0,7250.0,-0.007,ABB
2024-07-18,,Bán,-1667000.0,,,ABC
2024-07-03,,Mua,667000.0,,,ABC
2024-06-05,,Bán,-1550000.0,,,ABC
2024-05-08,,Bán,-1500000.0,,,ABC
2023-11-28,,Mua,500000.0,,,ABC
2023-11-15,,Mua,300000.0,,,ABC
2023-07-06,,Mua,500000.0,,,ABC
2023-06-09,,Mua,1000000.0,,,ABC
2023-06-06,,Mua,550000.0,,,ABC
2023-04-28,,Mua,276770.0,,,ABC
2022-09-05,,Bán,-4999998.0,,,ABC
2022-07-05,,Bán,-4999998.0,,,ABC
2022-06-23,,Mua,4999998.0,,,ABC
2022-06-06,,Bán,-270000.0,,,ABC
2022-03-11,,Bán,-4500000.0,,,ABC
2022-02-22,,Bán,-45000.0,,,ABC
2022-02-16,,Bán,0.0,,,ABC
2021-06-16,,Bán,-47000.0,,,ABC
2021-04-19,,Bán,-37000.0,,,ABC
2017-07-27,,Bán,-100000.0,,,ABC
2025-01-16,,Mua,100100.0,26500.0,0.023,ABI
2025-01-10,,Mua,0.0,26000.0,0.042,ABI
2024-04-01,,Mua,20000.0,23138.0,0.171,ABI
2024-02-22,,Bán,-102800.0,23971.0,0.131,ABI
2024-01-29,,Mua,190000.0,23879.0,0.135,ABI
